74;68;-1;
22;2;-1;
19;16;-1;
0;9;1;
74;88;1;
54;23;-1;
57;67;1;
47;69;1;
98;17;-1;
75;46;-1;
8;21;1;
39;91;1;
31;72;1;
97;66;-1;
63;75;1;
52;49;-1;
86;48;-1;
97;15;-1;
78;83;1;
4;81;1;
27;14;-1;
41;0;-1;
72;67;-1;
63;50;-1;
100;40;-1;
19;32;1;
72;77;1;
71;78;1;
22;25;1;
16;23;1;
17;60;1;
25;15;-1;
61;82;1;
27;7;-1;
40;35;-1;
95;84;-1;
34;87;1;
80;90;1;
6;26;1;
86;63;-1;
63;9;-1;
37;19;-1;
17;15;-1;
21;23;1;
46;32;-1;
47;24;-1;
77;55;-1;
43;38;-1;
85;76;-1;
92;6;-1;
57;31;-1;
40;75;1;
48;98;1;
55;13;-1;
90;11;-1;
7;27;1;
50;20;-1;
69;4;-1;
34;33;-1;
84;34;-1;
90;97;1;
89;18;-1;
88;53;-1;
87;71;-1;
33;94;1;
68;31;-1;
2;78;1;
61;57;-1;
16;22;1;
84;99;1;
99;17;-1;
64;78;1;
36;60;1;
79;97;1;
42;87;1;
86;26;-1;
67;75;1;
69;40;-1;
89;27;-1;
83;81;-1;
12;7;-1;
27;89;1;
67;60;-1;
78;96;1;
28;20;-1;
14;36;1;
18;58;1;
86;2;-1;
9;97;1;
2;90;1;
95;89;-1;
5;24;1;
69;41;-1;
64;25;-1;
24;39;1;
48;40;-1;
29;38;1;
18;59;1;
69;71;1;
10;73;1;
